,0,country,code
0,1,Australia,AUS
1,2,Austria,AUT
2,1,Canada,CAN
3,17,China,CHN
4,1,Colombia,COL
5,1,Egypt,EGY
6,2,Finland,FIN
7,1,France,FRA
8,7,Germany,DEU
9,3,Greece,GRC
10,7,India,IND
11,1,Indonesia,IDN
12,4,"Iran, Islamic Republic of",IRN
13,5,Italy,ITA
14,2,Japan,JPN
15,2,"Korea, Republic of",KOR
16,1,Lithuania,LTU
17,2,North Macedonia,MKD
18,5,Malaysia,MYS
19,3,Pakistan,PAK
20,1,Poland,POL
21,2,Portugal,PRT
22,3,Romania,ROU
23,2,Slovenia,SVN
24,4,Spain,ESP
25,3,Switzerland,CHE
26,3,Taiwan,
27,2,Tunisia,TUN
28,5,Turkey,TUR
29,1,United Kingdom,GBR
30,7,United States,USA
